scan_record_id,raw_scan_id,count_control_mode,acquisition_state_id,lattice_state_id,UB_state_id,scan_variable_raw,pre_detector_status,split_role,discovery_runtime_status,pre_detector_reasons,source_point_count,usable_geometry_points,energy_order,admissible_windows,discovery_qc_reasons
SCAN-02R-4f9204b624c2d482,104115,time_controlled,ACQSTATE-02R-d8bd77a44fe00800,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,s2,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-4fb9fc6716a3e65a,104062,time_controlled,ACQSTATE-02R-4c4e33f0acec143e,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,en,eligible_for_split,discovery,discovery_usable,,17,17,increasing,32,
SCAN-02R-51cfd518e3a0c6ec,104135,time_controlled,ACQSTATE-02R-9ab3f10f56634512,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-51f6ed2eb7632349,104210,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,46,46,increasing,148,
SCAN-02R-5215f80c458dc1c4,104174,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,20,20,increasing,44,
SCAN-02R-5467ba1e21b73319,104191,monitor_controlled,ACQSTATE-02R-30a8b3a0d08462ab,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,pa_top,not_primary_energy_discovery,not_applicable,not_evaluated,,15,0,not_evaluated,0,
SCAN-02R-54bfea84553b4c65,104096,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,en,eligible_for_split,holdout,not_evaluated,,25,25,decreasing_reversed_with_provenance,64,
SCAN-02R-58a76874c3967085,104224,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,holdout,not_evaluated,,26,26,decreasing_reversed_with_provenance,68,
SCAN-02R-59701ee4cf5ede45,104052,time_controlled,ACQSTATE-02R-b914afde3130cb09,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,a2,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-598c5cedd335b846,104177,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,holdout,not_evaluated,,13,13,increasing,16,
SCAN-02R-59fa80474896a50b,104106,time_controlled,ACQSTATE-02R-cbc3f2d268d2ba2a,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,sgu,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-5b1259784f010264,104079,time_controlled,ACQSTATE-02R-c3afc250a187b5a4,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,17,0,not_evaluated,0,
