scan_record_id,count_control_mode,acquisition_state_id,pre_detector_status,split_role,assignment_sha256,stratum_size,stratum_holdout_count,holdout_status,holdout_backfill
SCAN-02R-643ff7e40bd97888,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,diagnostic_only_insufficient_geometry,not_applicable,,0,0,not_applicable,false
SCAN-02R-652afedf8df9a217,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-68a1fdbd8955d9a4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,7e8a69cea5a329127dab5e69ee08c84c4d84f69fcccfe56b20dfea8fc6a8b89e,65,16,available,false
SCAN-02R-6d3fa023f691129f,time_controlled,ACQSTATE-02R-e4276bdea8e15cd5,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-6f7239d1961a1e4d,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,39bdc668aabbbbea82edc97bbbc1631bfee3f7e0aea3d35d8f910897f725d135,65,16,available,false
SCAN-02R-6fded6b51e0642a8,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,d36ece542704c7adc05e01d8421718d5da3b54a0e503bf3cb344235a1977ef8f,65,16,available,false
SCAN-02R-7044f49c95edc115,time_controlled,ACQSTATE-02R-763c392f103059d4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-708cf4d83a29d78f,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,9b688118eda877d2724b13db5e29409e97919d6f04a94235ab685e6c87b66f5c,65,16,available,false
SCAN-02R-7118d0dce593edea,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,93e0cb0a6b501f5501ab8b09ac1b16e2b45cb56f6119e95469131d38e188f39c,65,16,available,false
SCAN-02R-71f68f9554b93f6c,time_controlled,ACQSTATE-02R-03c418e03bbff8ef,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-72904b63e5e6e883,time_controlled,ACQSTATE-02R-53df6374615f09d5,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-731f452fb62a55bd,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,eligible_for_split,discovery,a9cf8fcc4cb9f46bec3cef25b5236a229a252887df1c15d1bcd6116503b1fa20,9,2,available,false
SCAN-02R-73adc0625f7869df,monitor_controlled,ACQSTATE-02R-0fc7191ce8c954ce,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-7493a417e6451013,time_controlled,ACQSTATE-02R-d8bd77a44fe00800,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-74e2c66cfb23844c,time_controlled,ACQSTATE-02R-76cbd914416780d4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-75faa4a614a8f130,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,7b2b1d6c01aebc9fedbad3dcbd3a75f7518ed39a3d1936a2d76fb0fdf6b3e38d,65,16,available,false
SCAN-02R-762111064d108c6d,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,edc9e2d8793aad73d7cc5c792adea6f53f0a8b00e03fc88e7edd7ec3aa681778,65,16,available,false
SCAN-02R-76804d90690fee01,time_controlled,ACQSTATE-02R-b89c4bffa1f47288,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-774f62fc1777bc6b,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,eligible_for_split,discovery,630338a5f0d21b3774fff561cf21c030bb2afc293d0e880892debdc9e5cad163,9,2,available,false
SCAN-02R-77b71bd09c7eb4b4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,6474aae357e29ad38703da82d39895c13b15d69d7a27a604c6311d7d62b86e75,65,16,available,false
SCAN-02R-78bcb97650a5c779,time_controlled,ACQSTATE-02R-28209d72681aed75,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-79960ffd3b8a968b,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,22c6cf71cd83737ed853f812ab48c48847cdc2a873278fab1d02f4dda80101dc,65,16,available,false
SCAN-02R-79e659b84aa4786d,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,f8e367ff78e4f3d1d72e2c561f69c52f7545a0b89e787747c5dc38d3614cd0ea,65,16,available,false
SCAN-02R-7a0b878c4f9bf5c8,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,diagnostic_only_insufficient_geometry,not_applicable,,0,0,not_applicable,false
SCAN-02R-7acd4c14a0007418,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,5e9305e54edcbde49880703e38684a0c5c60991dad4676a7e93779e0009a3c9e,65,16,available,false
SCAN-02R-7bf9711c804eecbc,time_controlled,ACQSTATE-02R-6adc9825d6f4cc64,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-7d946974f8e94f38,time_controlled,ACQSTATE-02R-108dfc3a3c6afd9c,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-7fc5c872db142199,monitor_controlled,ACQSTATE-02R-72bc31d155544226,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-8345a5938afc1084,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,60d7747bb00b54cf910bc18f7e4c9b49eb0f9ce93f5e308e249e6beb972be60b,65,16,available,false
SCAN-02R-84cb0b6150577fdc,time_controlled,ACQSTATE-02R-c3afc250a187b5a4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-8641a638f4880175,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,eligible_for_split,discovery,c5f891e607fd0fd4c657440e63df78d62ec2c5a8369c1241f88ee8c994c8aee4,9,2,available,false
SCAN-02R-87a18bddebeb7046,monitor_controlled,ACQSTATE-02R-72bc31d155544226,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-87edbdf74d1e5fb1,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,36eb565baa60c83f3c85f405e91c180407adc69dd32f23b420876ae3e85b3387,65,16,available,false
SCAN-02R-88b013f641209af6,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,diagnostic_only_insufficient_geometry,not_applicable,,0,0,not_applicable,false
SCAN-02R-89614c0503a95275,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,dc9296d5022815a85776b330a422020d82a0f2b6ec780beccfe4d1ee4def93b6,65,16,available,false
SCAN-02R-8c948345fe20cada,time_controlled,ACQSTATE-02R-03c418e03bbff8ef,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-8c953d28ca426172,time_controlled,ACQSTATE-02R-adba83e7b042797b,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-8ca6316615b8cbae,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,eligible_for_split,discovery,6647a6a26fe34b97496a59d5aec032e42152db878b089c8b321b77131e7a485b,9,2,available,false
SCAN-02R-8dcd5041a8a4e044,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,eligible_for_split,discovery,482cf1ab9b5988016fe0bf824cb73342ff43e1c8454f39264596828603fadf12,9,2,available,false
SCAN-02R-8e62e3b1b9deee81,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,b8a932fc7b2162a4c04ee69ad8a329d58afd1dd735cbde2fb9bc4edc11fa38ac,65,16,available,false
SCAN-02R-8e9939a05c893131,time_controlled,ACQSTATE-02R-28209d72681aed75,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-91de8f7a5ce6984b,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,eligible_for_split,discovery,b5d4df4a792178df276d5c2fedb9f60ba1c70f5e024038f4a6092e591006c11e,9,2,available,false
SCAN-02R-91f840c137c7a43c,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,6240d821400816396afd4f126096c65c71d144e5c092e6d2fedbff4e83e45eaf,65,16,available,false
SCAN-02R-920194e62af87181,time_controlled,ACQSTATE-02R-763c392f103059d4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-93657997ed968c54,time_controlled,ACQSTATE-02R-c3afc250a187b5a4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-936cf3ec1b1f48e0,time_controlled,ACQSTATE-02R-b89c4bffa1f47288,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-94943265720dfbae,time_controlled,ACQSTATE-02R-b89c4bffa1f47288,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-957a8834d758202b,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,dbb9f0da283ec771cf89e92ca5cba1a3fc8163233b6633c4f66260d53941be50,65,16,available,false
SCAN-02R-95f55247c2e05782,time_controlled,ACQSTATE-02R-28209d72681aed75,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-a0737ac6a3eb4604,monitor_controlled,ACQSTATE-02R-72bc31d155544226,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-a1d82bdc331e2df4,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,2980202b8dab219dce80c5e9e545eddec3295f295d11fa5fe16981b1ec674307,65,16,available,false
SCAN-02R-a37edad191409e00,time_controlled,ACQSTATE-02R-c3afc250a187b5a4,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-a4d537ac569af0ba,time_controlled,ACQSTATE-02R-28209d72681aed75,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-a59dc960ac5aa7de,time_controlled,ACQSTATE-02R-08c77f1cdd894d24,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-a88a59b9d2315a05,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,holdout,228b12c558741758ea1e9674e55acf6ce5aff9655776df6245ea2ae0b07363ed,65,16,available,false
SCAN-02R-a9a9857e0e5183b2,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,not_primary_energy_discovery,not_applicable,,0,0,not_applicable,false
SCAN-02R-abcd8030795bc9cb,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,76702da2836c44f27b4731ed6df940575715f79f6f3c248d3c0a1952b772ac28,65,16,available,false
SCAN-02R-ae86f327e3ed5623,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,eligible_for_split,discovery,5aa52c74b5d94d317180e13a31f51a1c04f44685cccd53a99f7b80d3c5da5cfa,65,16,available,false
