file_record_id,dataset_id,source_file,source_checksum,file_size_bytes,file_extension,filesystem_mtime,filesystem_mtime_trust,raw_format_id,raw_format_fingerprint,file_role,parse_status,parse_message,duplicate_status,duplicate_group_id,raw_scan_id,file_scan_cardinality_status,quality_flag,quality_reasons
FILE-02R-b3c55d12147f0b5a,EXP-TAIPAN-001,TAIPAN_exp1296_scan104152.dat,69f7aa8176b154b292e84843911eb9702af3e3ffe2839f2c5e39582deffe497c,24551,.dat,2023-08-31T11:21:46Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104152,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-f05dcc227ab4790a,EXP-TAIPAN-001,TAIPAN_exp1296_scan104153.dat,db02424b0f0415400b27b36cc5ad9908f29156655ee7f8acacc0fbc489883426,24551,.dat,2023-08-31T13:00:42Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104153,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-98ae70bbe8082ef4,EXP-TAIPAN-001,TAIPAN_exp1296_scan104154.dat,ce9d94b1cc6cafb41244d4cd5e193c8de89de37991b6392ff7ac5913e80cffa9,24551,.dat,2023-08-31T14:40:12Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104154,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-67de6714e483831a,EXP-TAIPAN-001,TAIPAN_exp1296_scan104155.dat,0c4efec60e960cd98acc1cd88313fa7e8540a7262a34bb9fa8e30db28d85554d,3062,.dat,2023-08-31T15:28:44Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104155,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-0c5324e654c50b30,EXP-TAIPAN-001,TAIPAN_exp1296_scan104156.dat,a8cf82603774ed94fad45516faa1afcb22e00e67c06db32661c04ce857f3f3cd,5285,.dat,2023-08-31T15:55:24Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104156,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-afd3d05ceefc8cfc,EXP-TAIPAN-001,TAIPAN_exp1296_scan104157.dat,021a5444058959a3165f79d14312d44aefecc1b45058d5e6e66bc0105c75fda1,5285,.dat,2023-08-31T16:20:44Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104157,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-7d8d4710d9fda42d,EXP-TAIPAN-001,TAIPAN_exp1296_scan104158.dat,302810e698b5fdf3804690d4827f1ffbbdcf870b6e9edfdb60614926a7a0bb0e,5285,.dat,2023-08-31T16:46:04Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104158,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-d79d25b742a78b2f,EXP-TAIPAN-001,TAIPAN_exp1296_scan104159.dat,969e09a6759d5d3c3ac8e5a1e33da47f0242aea6f6da318a4e7449e7a46458d3,5285,.dat,2023-08-31T17:11:28Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104159,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-11e5fd16724f5c83,EXP-TAIPAN-001,TAIPAN_exp1296_scan104160.dat,66e46180ec42507171cd7958737642be284e704fd60e16097ee7a8a385d2d42b,5285,.dat,2023-08-31T17:36:52Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104160,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-64501f6fb06d7fd7,EXP-TAIPAN-001,TAIPAN_exp1296_scan104161.dat,07d6594053688e0685c90d5f80e8926c9d7800161eb96f5e317dd6bd9585cc46,5285,.dat,2023-08-31T18:02:14Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104161,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-a91939947e7b8665,EXP-TAIPAN-001,TAIPAN_exp1296_scan104162.dat,b45f2ce932b4fd9883390861c835e58b6c2c70145d583956ee8039015e686a18,5285,.dat,2023-08-31T18:27:44Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104162,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-a31d6cff4c90e94e,EXP-TAIPAN-001,TAIPAN_exp1296_scan104163.dat,5a828215d29d22df00dc1775941b5ecc6a0f0fb7db734ec1b6a15f3808da8635,28256,.dat,2023-08-31T21:29:28Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104163,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-e3e3f990249fa8c7,EXP-TAIPAN-001,TAIPAN_exp1296_scan104164.dat,9aebc4691bbef4afeae5ab3d3b69fd1ee5cf4cf69836adca22199ad666ef3733,28256,.dat,2023-08-31T23:29:30Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104164,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
FILE-02R-2467de187102a2bb,EXP-TAIPAN-001,TAIPAN_exp1296_scan104165.dat,c3c9a2d4aeb49d517cecc7d8400d36d26518b81409ce0f7c22938c7ffb3f1a70,16400,.dat,2023-09-01T00:30:08Z,A001_snapshot_filesystem_metadata_only,FMT-02R-06137a7de1ad,06137a7de1ad68c8d3c5ee311070d73b8ce93af24fa948c32feac02252005c49,scan,parsed,complete_one_declared_numeric_block,unique_content,,104165,verified_1_to_1,warning,mode_semantics_unresolved;q_semantics_unresolved;PG_reflection_mosaic_unverified;filter_attenuation_not_recorded;temperature_channel_semantics_unresolved
