file_record_id,scan_record_id,relationship_role,mapping_status,mapping_evidence
FILE-02R-39cecdc7b100cbe5,SCAN-02R-8c953d28ca426172,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-3bc37304a3ed3933,SCAN-02R-3796d374ac11519e,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-3c1b75c58699b634,SCAN-02R-306a96179bd778b6,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-401ca0c88448c213,SCAN-02R-03ed38ed92271694,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-410122dc0a0a0609,SCAN-02R-652afedf8df9a217,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-4228d41a4d290624,SCAN-02R-f71173d3ec0c732c,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-434a17bab71381e2,SCAN-02R-1c3a8acc71d9e5bd,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-4406ccfa81a1f4ff,SCAN-02R-e4b1e60e94f6a5b7,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-45874942b83e2b22,SCAN-02R-e1e2bf2dafefa081,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-45c03790c8247819,SCAN-02R-a37edad191409e00,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-46a7afceafa94daa,SCAN-02R-e731681e22986e49,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-46dfb210c943bc7c,SCAN-02R-94943265720dfbae,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-47923655f1056cab,SCAN-02R-432159a75d80f2b3,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-4a07ecce43a588a4,SCAN-02R-78bcb97650a5c779,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-4b7dc4f88327fb96,SCAN-02R-6f7239d1961a1e4d,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-4bf9457dca51fccc,SCAN-02R-bc0f4f0c3548d67f,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-4dae638e87018000,SCAN-02R-eb5b106ace121b92,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-4ec5d8f394c2876a,SCAN-02R-42f2046fce901aec,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-4f42c03f9a4a989b,SCAN-02R-4eb3495e2e32dd73,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-50ed3a6aa1d85618,SCAN-02R-5b80daccf8c23dd0,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-51cd8477e36147f8,SCAN-02R-c8f01d8d90de0c04,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-5220bed93a198b55,SCAN-02R-059bd02c78268a2b,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-52eba187558a3c67,SCAN-02R-8641a638f4880175,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-547ae22861c35e33,SCAN-02R-183e2f7a146cbdf6,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-548c132cbb5f17d6,SCAN-02R-20b2aca534749eb8,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-56a3d2571deda3b4,SCAN-02R-251028aabdf3c3e7,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-575e049a16f2e04e,SCAN-02R-42d0a4d8bd2d58cc,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-57f5d07be2ba1eae,SCAN-02R-7fc5c872db142199,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-58cb1ca25197b413,SCAN-02R-76804d90690fee01,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-5a38e4c96d738a19,SCAN-02R-59fa80474896a50b,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-5b72ee4e48fdf768,SCAN-02R-6fded6b51e0642a8,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-5b79965e065191e7,SCAN-02R-643ff7e40bd97888,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-5baa765c008151e1,SCAN-02R-3d7ecf2f3c542662,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-5c81e383ba658579,SCAN-02R-f4c54e6724ab8666,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-5cf0ec7dc8dfcd7d,SCAN-02R-c74d6df747d6fccd,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-6034a133895cf720,SCAN-02R-48f6ae0dc1c99d07,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-617a2a398a2b60f6,SCAN-02R-43d400370d39ebe7,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-6189a97c1406ead2,SCAN-02R-2c07251df8824bce,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-62d24cd256ac118d,SCAN-02R-87edbdf74d1e5fb1,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
