dataset_id,file_record_id,scan_record_id,raw_format_id,diagnostic_type,severity,field_or_section,source_line_number,message
EXP-TAIPAN-001,FILE-02R-98ae70bbe8082ef4,SCAN-02R-762111064d108c6d,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-9aad2f08ff8b0092,SCAN-02R-e5f864cf4587fc19,FMT-02R-92d14f023eb1,duplicate_declared_label,info,ei,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-9aae17c864f1b80f,SCAN-02R-fb555611767fe647,FMT-02R-fb75879b9023,duplicate_declared_label,info,qk,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-9b86ca5f436ba496,SCAN-02R-325ad9a57ee92673,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-9c94dad236447dac,SCAN-02R-a1d82bdc331e2df4,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-a119883ca3dcd30c,SCAN-02R-731f452fb62a55bd,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-a2d17d3a2580b423,SCAN-02R-a9a9857e0e5183b2,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-a31d6cff4c90e94e,SCAN-02R-074afad5a6b92ea4,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-a486a5a1a77ae9d6,SCAN-02R-68a1fdbd8955d9a4,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-a4f1d0ae9a0b3bf3,SCAN-02R-c3dcce6e5bc72678,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-a8f25df3c5847d30,SCAN-02R-da644119c60690fc,FMT-02R-a20370d76087,duplicate_declared_label,info,sgl,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-a91939947e7b8665,SCAN-02R-e7c2e1a042f607c2,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-a98cdafc1ca03212,SCAN-02R-49c7081b477e8f3d,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-aa07ebe39d21c0b8,SCAN-02R-d5e00829a2a54fb6,FMT-02R-fb75879b9023,duplicate_declared_label,info,qk,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-ac00d0136c230341,SCAN-02R-a0737ac6a3eb4604,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-ad5a7d1fd9cfbffb,SCAN-02R-391364dde623200d,FMT-02R-a20370d76087,duplicate_declared_label,info,sgl,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-afd3d05ceefc8cfc,SCAN-02R-46abc72aaf86494c,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-b026e7e938fde3e5,SCAN-02R-b30351ae2c4fc24c,FMT-02R-42b66acce1bb,duplicate_declared_label,info,ql,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-b2043e6967551433,SCAN-02R-84cb0b6150577fdc,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-b3c55d12147f0b5a,SCAN-02R-2a0e91f43e0fe127,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-b3edfec0667b8f81,SCAN-02R-91de8f7a5ce6984b,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-b4ceb51089e2f382,SCAN-02R-6d3fa023f691129f,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-b59b6a3cc82d9e1d,SCAN-02R-8e9939a05c893131,FMT-02R-de66a609ccd2,duplicate_declared_label,info,s2,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-b721852cd2326ced,SCAN-02R-93657997ed968c54,FMT-02R-00e53630cd36,duplicate_declared_label,info,s1,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
EXP-TAIPAN-001,FILE-02R-b730d75fdfeddc6e,SCAN-02R-eea1fadd4abbd144,FMT-02R-06137a7de1ad,duplicate_declared_label,info,en,31,All occurrences preserved by source_column_index; first occurrence only selected for wide mapping.
