scan_record_id,raw_scan_id,sequence_index,acquisition_state_id,acquisition_state_status,instrument_config_id,instrument_config_status,count_control_mode,lattice_state_id,UB_state_id,normalization_epoch_id,critical_unknown_fields,relevant_unknown_fields,normalization_compatibility_status,normalization_compatibility_group_id,classification_notes
SCAN-02R-41d12941c2dac178,104165,125,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-42c582e4eb747d10,104181,141,ACQSTATE-02R-72bc31d155544226,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-42d0a4d8bd2d58cc,104199,159,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-42f2046fce901aec,104080,40,ACQSTATE-02R-92658811a43cf789,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-432159a75d80f2b3,104147,107,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-43979cdff2eef525,104094,54,ACQSTATE-02R-76ff5c324efb0d8a,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-43d400370d39ebe7,104112,72,ACQSTATE-02R-76dbf689e6cbf1b2,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,time_controlled,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-bc7c0a966a7cf80b,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-45d1daf515e218b6,104222,182,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-4650765ebe11f415,104167,127,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
SCAN-02R-46abc72aaf86494c,104157,117,ACQSTATE-02R-896f06c2a7c231ec,recorded_v1_equivalence,INSTCFG-02R-d3a276575fd49dd8,recorded_verified_configuration_equivalence_only,monitor_controlled,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,NORMEPOCH-02R-0001,filter_state;higher_order_suppression_state;attenuation_state;monochromator_reflection;analyzer_reflection;detector_hardware_identity;monitor_hardware_identity,monochromator_mosaic;analyzer_mosaic;unresolved_focusing_aperture_configuration_fields;other_unresolved_beam_path_configuration_fields,conditionally_supported,NORMCOMP-02R-26ed32e42105dda7,Metadata-only; no normalization; acquisition state is not hardware identity.
